Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Dark Spots,nonveg,Bone Broth,Butter Chicken
Dark Circles,nonveg,Oysters,Butter Chicken
Itchy Skin,veg,Tomato,Processed Juice
Sagging,veg,Sweet Potato,Creamy Curries
Dryness,vegen,Tofu,Vegan Mayo
Redness,vegen,Zucchini,Refined Oil
Tanning,vegen,Lentils,Refined Oil
Rosacea,combination,Egg Salad,Ice Cream
Inflammation,veg,Carrot,Pickles
Pores,veg,Sweet Potato,Fried Potato
Oily Skin,vegen,Soy Milk,Packaged Vegan Chips
Redness,nonveg,Eggs,Sausages
Pores,vegen,Kale,Agave Syrup
Rosacea,veg,Sweet Potato,White Bread
Pores,veg,Beetroot,Deep-Fried Snacks
Rosacea,nonveg,Tuna,Red Meat
Acne,combination,Baked Fish with Veggies,Fried Chicken
Redness,vegen,Oats,Excess Soy
Itchy Skin,combination,Fish Curry with Rice,Instant Noodles
Sunburn,veg,Carrot,Pickles
Eczema,veg,Tomato,Carbonated Drinks
Oily Skin,veg,Turmeric Milk,Fried Potato
Itchy Skin,veg,Tomato,Fried Potato
Rosacea,vegen,Oats,Vegan Mayo
Sunburn,veg,Beetroot,Deep-Fried Snacks
Dullness,nonveg,Bone Broth,Processed Meat
Inflammation,combination,Vegetable Soup,Instant Noodles
Dark Circles,nonveg,Liver,Bacon
Whiteheads,veg,Sweet Potato,Processed Juice
Pigmentation,vegen,Coconut Water,Fried Tofu
Dryness,combination,Avocado Toast with Egg,Fried Chicken
Uneven Skin Tone,vegen,Hummus,Overprocessed Vegan Snacks
Dullness,vegen,Tofu,Vegan Mayo
Sagging,nonveg,Tuna,Bacon
Dark Circles,vegen,Soy Milk,Vegan Mayo
Redness,vegen,Coconut Water,Vegan Mayo
Dark Circles,vegen,Oats,Packaged Vegan Chips
Sunburn,combination,Chicken with Broccoli,Butter Paneer
Pores,veg,Sweet Potato,Carbonated Drinks
Dryness,combination,Avocado Toast with Egg,Cream Biscuits
Eczema,veg,Spinach,Carbonated Drinks
Inflammation,nonveg,Turkey,Mutton Curry
Uneven Skin Tone,combination,Egg Salad,Ice Cream
Sunburn,veg,Cucumber,Carbonated Drinks
Eczema,nonveg,Liver,Mutton Curry
Tanning,combination,Fruit Yogurt,Excess Cheese
Itchy Skin,combination,Fruit Yogurt,Instant Noodles
Pores,vegen,Kale,White Sugar
Sagging,combination,Vegetable Soup,Chips
Uneven Skin Tone,vegen,Soy Milk,Mock Meats
Blackheads,nonveg,Salmon,Bacon
Tanning,vegen,Lentils,Overprocessed Vegan Snacks
Sunburn,combination,Vegetable Soup,Excess Cheese
Inflammation,nonveg,Turkey,Butter Chicken
Uneven Skin Tone,combination,Baked Fish with Veggies,Butter Paneer
Itchy Skin,nonveg,Oysters,Spicy Chicken
Dark Circles,vegen,Tofu,Vegan Mayo
Dryness,veg,Spinach,Fried Potato
Acne,vegen,Tofu,Excess Soy
Oily Skin,nonveg,Salmon,Mutton Curry
Dark Spots,vegen,Quinoa,Refined Oil
Eczema,vegen,Kale,Refined Oil
Acne,vegen,Soy Milk,Refined Oil
Dark Spots,combination,Greek Yogurt with Berries,Instant Noodles
Acne,vegen,Tofu,White Sugar
Wrinkles,nonveg,Tuna,Mutton Curry
Eczema,combination,Mixed Nuts,Instant Noodles
Rosacea,veg,Pumpkin Seeds,Pickles
Itchy Skin,nonveg,Tuna,Bacon
Oily Skin,veg,Spinach,Pickles
Rosacea,vegen,Coconut Water,Fried Tofu
Dryness,veg,Beetroot,Refined Sugar
Sagging,vegen,Quinoa,Mock Meats
Wrinkles,veg,Tomato,Carbonated Drinks
Inflammation,vegen,Lentils,Refined Oil
Oily Skin,combination,Greek Yogurt with Berries,Cream Biscuits
Dryness,nonveg,Oysters,Red Meat
Sunburn,nonveg,Liver,Fried Fish
Dullness,nonveg,Bone Broth,Mutton Curry
Inflammation,vegen,Coconut Water,Coconut Cream
Rosacea,nonveg,Chicken Breast,Butter Chicken
Pores,veg,Spinach,Pickles
Blackheads,veg,Pumpkin Seeds,Processed Juice
Eczema,vegen,Quinoa,Refined Oil
Whiteheads,vegen,Kale,Excess Soy
Pores,vegen,Hummus,Overprocessed Vegan Snacks
Inflammation,vegen,Chia Seeds,Mock Meats
Dullness,nonveg,Chicken Breast,Fried Fish
Whiteheads,nonveg,Liver,Spicy Chicken
Rosacea,combination,Mixed Nuts,Burger
Oily Skin,veg,Broccoli,Creamy Curries
Pores,combination,Chicken with Broccoli,Sugary Drinks
Oily Skin,nonveg,Liver,Mayonnaise
Tanning,vegen,Chia Seeds,Refined Oil
Oily Skin,combination,Greek Yogurt with Berries,Burger
Eczema,combination,Avocado Toast with Egg,Pizza
Dullness,vegen,Hummus,White Sugar
Tanning,nonveg,Bone Broth,Butter Chicken
Pigmentation,vegen,Tofu,Overprocessed Vegan Snacks
Whiteheads,combination,Fruit Yogurt,Butter Paneer
Dark Circles,veg,Beetroot,Pickles
Whiteheads,vegen,Lentils,Fried Tofu
Oily Skin,combination,Fruit Yogurt,Ice Cream
Sagging,nonveg,Turkey,Fried Fish
Dark Circles,combination,Egg Salad,Excess Cheese
Uneven Skin Tone,vegen,Quinoa,Fried Tofu
Uneven Skin Tone,vegen,Zucchini,Overprocessed Vegan Snacks
Dullness,combination,Tofu Stir Fry,Ice Cream
Sagging,combination,Fish Curry with Rice,Excess Cheese
Uneven Skin Tone,combination,Baked Fish with Veggies,Cream Biscuits
Blackheads,combination,Avocado Toast with Egg,Instant Noodles
Rosacea,combination,Chicken with Broccoli,Cream Biscuits
Sunburn,nonveg,Prawns,Red Meat
Itchy Skin,nonveg,Turkey,Bacon
Oily Skin,vegen,Kale,Overprocessed Vegan Snacks
Dullness,nonveg,Yogurt,Spicy Chicken
Redness,vegen,Chia Seeds,Fried Tofu
Eczema,vegen,Zucchini,Agave Syrup
Tanning,vegen,Coconut Water,Refined Oil
Pores,veg,Spinach,Carbonated Drinks
Pores,nonveg,Bone Broth,Red Meat
Inflammation,vegen,Quinoa,Agave Syrup
Wrinkles,veg,Spinach,Butter
Blackheads,nonveg,Turkey,Processed Meat
Rosacea,vegen,Zucchini,Vegan Mayo
Dark Circles,combination,Egg Salad,Butter Paneer
Wrinkles,combination,Avocado Toast with Egg,Burger
Wrinkles,nonveg,Oysters,Bacon
Uneven Skin Tone,vegen,Oats,Vegan Mayo
Sagging,combination,Baked Fish with Veggies,Burger
Itchy Skin,vegen,Quinoa,White Sugar
Dullness,veg,Spinach,Fried Potato
Uneven Skin Tone,veg,Beetroot,Carbonated Drinks
Dark Spots,nonveg,Prawns,Spicy Chicken
Uneven Skin Tone,vegen,Kale,Excess Soy
Rosacea,nonveg,Eggs,Sausages
Rosacea,veg,Turmeric Milk,Carbonated Drinks
Itchy Skin,vegen,Hummus,Refined Oil
Sunburn,nonveg,Yogurt,Fried Fish
Inflammation,veg,Sweet Potato,White Bread
Pores,combination,Vegetable Soup,Butter Paneer
Wrinkles,combination,Baked Fish with Veggies,Fried Chicken
Uneven Skin Tone,vegen,Zucchini,Agave Syrup
Inflammation,veg,Pumpkin Seeds,Cheese
Itchy Skin,nonveg,Yogurt,Fried Egg
Inflammation,veg,Beetroot,Cheese
Wrinkles,nonveg,Yogurt,Fried Fish
Pigmentation,combination,Fish Curry with Rice,Fried Chicken
Rosacea,vegen,Zucchini,Overprocessed Vegan Snacks
Inflammation,vegen,Hummus,Overprocessed Vegan Snacks
Sagging,nonveg,Prawns,Spicy Chicken
Sagging,combination,Fish Curry with Rice,Sugary Drinks
Uneven Skin Tone,vegen,Zucchini,Refined Oil
Pores,veg,Cucumber,White Bread
Sunburn,vegen,Coconut Water,Vegan Mayo
Sagging,vegen,Kale,Agave Syrup
Itchy Skin,vegen,Tofu,White Sugar
Inflammation,veg,Tomato,Butter
Dryness,combination,Vegetable Soup,Fried Chicken
Dullness,nonveg,Turkey,Fried Egg
Sagging,veg,Turmeric Milk,Refined Sugar
Whiteheads,combination,Greek Yogurt with Berries,Pizza
Itchy Skin,nonveg,Liver,Fried Fish
Blackheads,combination,Egg Salad,Butter Paneer
Whiteheads,combination,Chicken with Broccoli,Butter Paneer
Wrinkles,nonveg,Tuna,Fried Egg
Pores,vegen,Tofu,Mock Meats
Dark Circles,nonveg,Tuna,Red Meat
Inflammation,combination,Greek Yogurt with Berries,Instant Noodles
Eczema,nonveg,Oysters,Bacon
Dullness,combination,Greek Yogurt with Berries,Burger
Dark Circles,vegen,Soy Milk,Packaged Vegan Chips
Dark Circles,nonveg,Tuna,Spicy Chicken
Uneven Skin Tone,nonveg,Liver,Mayonnaise
Dark Circles,combination,Avocado Toast with Egg,Excess Cheese
Itchy Skin,veg,Spinach,Pickles
Dark Spots,combination,Mixed Nuts,Butter Paneer
Sagging,combination,Tofu Stir Fry,Pizza
Oily Skin,vegen,Quinoa,White Sugar
Tanning,vegen,Oats,Agave Syrup
Sunburn,vegen,Lentils,Coconut Cream
Dullness,combination,Greek Yogurt with Berries,Cream Biscuits
Dark Circles,vegen,Quinoa,Refined Oil
Dryness,veg,Cucumber,Fried Potato
Wrinkles,nonveg,Turkey,Mayonnaise
Acne,vegen,Oats,Overprocessed Vegan Snacks
Dullness,nonveg,Yogurt,Fried Fish
Pores,combination,Chicken with Broccoli,Chips
Pigmentation,veg,Almonds,Butter
Blackheads,vegen,Chia Seeds,White Sugar
Acne,nonveg,Turkey,Fried Fish
Dark Circles,nonveg,Prawns,Mayonnaise
Acne,veg,Pumpkin Seeds,Refined Sugar
Redness,nonveg,Turkey,Fried Fish
Blackheads,vegen,Chia Seeds,White Sugar
Wrinkles,combination,Mixed Nuts,Instant Noodles
Dark Circles,vegen,Tofu,Overprocessed Vegan Snacks
Oily Skin,veg,Turmeric Milk,White Bread
Itchy Skin,combination,Vegetable Soup,Sugary Drinks
Redness,vegen,Oats,White Sugar
Wrinkles,nonveg,Chicken Breast,Fried Egg
Rosacea,combination,Avocado Toast with Egg,Chips
Dark Circles,nonveg,Yogurt,Fried Fish
Blackheads,combination,Egg Salad,Instant Noodles
Sunburn,nonveg,Liver,Bacon
Dryness,nonveg,Turkey,Sausages
Wrinkles,nonveg,Turkey,Fried Egg
Oily Skin,veg,Pumpkin Seeds,Cheese
Dark Circles,vegen,Zucchini,Agave Syrup
Pores,nonveg,Turkey,Fried Fish
Acne,veg,Carrot,Butter
Sunburn,veg,Carrot,Pickles
Dark Spots,combination,Greek Yogurt with Berries,Excess Cheese
Redness,vegen,Chia Seeds,Vegan Mayo
Tanning,nonveg,Yogurt,Fried Fish
Dullness,veg,Sweet Potato,Carbonated Drinks
Dark Circles,combination,Avocado Toast with Egg,Cream Biscuits
Oily Skin,combination,Avocado Toast with Egg,Ice Cream
Dryness,nonveg,Chicken Breast,Sausages
Wrinkles,vegen,Zucchini,Mock Meats
Dryness,combination,Fish Curry with Rice,Burger
Acne,nonveg,Salmon,Spicy Chicken
Sagging,combination,Greek Yogurt with Berries,Fried Chicken
Whiteheads,nonveg,Oysters,Spicy Chicken
Whiteheads,veg,Carrot,Cheese
Redness,combination,Greek Yogurt with Berries,Burger
Whiteheads,veg,Cucumber,Creamy Curries
Dark Spots,combination,Egg Salad,Butter Paneer
Inflammation,nonveg,Oysters,Spicy Chicken
Whiteheads,veg,Turmeric Milk,Refined Sugar
Blackheads,veg,Carrot,Fried Potato
Blackheads,veg,Cucumber,Cheese
Rosacea,nonveg,Eggs,Red Meat
Tanning,vegen,Oats,Coconut Cream
Blackheads,vegen,Quinoa,Packaged Vegan Chips
Oily Skin,combination,Chicken with Broccoli,Fried Chicken
Dryness,nonveg,Tuna,Butter Chicken
Dryness,vegen,Chia Seeds,Fried Tofu
Dullness,combination,Mixed Nuts,Burger
Tanning,vegen,Soy Milk,Coconut Cream
Sunburn,combination,Tofu Stir Fry,Instant Noodles
Eczema,nonveg,Turkey,Processed Meat
Inflammation,vegen,Oats,Vegan Mayo
Blackheads,nonveg,Salmon,Sausages
Acne,nonveg,Prawns,Processed Meat
Acne,combination,Egg Salad,Excess Cheese
Dullness,veg,Tomato,Deep-Fried Snacks
Blackheads,vegen,Kale,Refined Oil
Dark Circles,combination,Chicken with Broccoli,Pizza
Blackheads,vegen,Quinoa,Fried Tofu
Oily Skin,veg,Sweet Potato,White Bread
Rosacea,veg,Turmeric Milk,Processed Juice
Dryness,vegen,Tofu,Excess Soy
Dullness,combination,Mixed Nuts,Excess Cheese
Uneven Skin Tone,combination,Baked Fish with Veggies,Instant Noodles
Blackheads,veg,Tomato,White Bread
Inflammation,veg,Beetroot,Refined Sugar
Pigmentation,vegen,Kale,Coconut Cream
Redness,veg,Sweet Potato,Cheese
Sunburn,vegen,Lentils,Fried Tofu
Whiteheads,veg,Spinach,White Bread
Dullness,veg,Tomato,Cheese
Dark Circles,veg,Tomato,Cheese
Rosacea,veg,Broccoli,Butter
Pigmentation,veg,Almonds,Creamy Curries
Tanning,nonveg,Chicken Breast,Mayonnaise
Wrinkles,nonveg,Chicken Breast,Red Meat
Dryness,nonveg,Eggs,Mutton Curry
Rosacea,combination,Chicken with Broccoli,Cream Biscuits
Inflammation,combination,Chicken with Broccoli,Pizza
Oily Skin,nonveg,Turkey,Spicy Chicken
Oily Skin,combination,Chicken with Broccoli,Pizza
Itchy Skin,veg,Beetroot,Processed Juice
Redness,vegen,Kale,Refined Oil
Rosacea,vegen,Tofu,Coconut Cream
Sunburn,nonveg,Yogurt,Bacon
Itchy Skin,nonveg,Salmon,Fried Egg
Eczema,nonveg,Yogurt,Mayonnaise
Redness,vegen,Soy Milk,White Sugar
Whiteheads,vegen,Tofu,Agave Syrup
Sunburn,nonveg,Prawns,Red Meat
Rosacea,combination,Baked Fish with Veggies,Fried Chicken
Sagging,combination,Tofu Stir Fry,Fried Chicken
Uneven Skin Tone,vegen,Lentils,Overprocessed Vegan Snacks
Acne,combination,Tofu Stir Fry,Ice Cream
Acne,combination,Egg Salad,Butter Paneer
Dark Spots,combination,Tofu Stir Fry,Ice Cream
Pigmentation,veg,Tomato,Carbonated Drinks
Whiteheads,veg,Tomato,Processed Juice
Rosacea,combination,Fish Curry with Rice,Sugary Drinks
Blackheads,combination,Mixed Nuts,Cream Biscuits
Acne,combination,Tofu Stir Fry,Cream Biscuits
Dark Circles,nonveg,Turkey,Butter Chicken
Dullness,nonveg,Turkey,Red Meat
Oily Skin,veg,Tomato,Processed Juice
Blackheads,veg,Sweet Potato,Creamy Curries
Acne,combination,Tofu Stir Fry,Ice Cream
Dark Circles,combination,Fish Curry with Rice,Chips
Dryness,veg,Beetroot,Processed Juice
Dark Circles,veg,Sweet Potato,Cheese
Oily Skin,combination,Avocado Toast with Egg,Cream Biscuits
Wrinkles,combination,Fruit Yogurt,Chips
Dark Circles,nonveg,Liver,Mayonnaise
Uneven Skin Tone,nonveg,Prawns,Fried Egg
Pores,nonveg,Bone Broth,Spicy Chicken
Rosacea,combination,Fruit Yogurt,Sugary Drinks
Pigmentation,veg,Turmeric Milk,Pickles
Inflammation,veg,Beetroot,Processed Juice
Uneven Skin Tone,nonveg,Bone Broth,Fried Fish
Sagging,nonveg,Oysters,Fried Fish
Blackheads,combination,Mixed Nuts,Sugary Drinks
Oily Skin,combination,Baked Fish with Veggies,Pizza
Whiteheads,nonveg,Tuna,Fried Fish
Pores,combination,Chicken with Broccoli,Pizza
Dryness,vegen,Kale,Agave Syrup
Pigmentation,vegen,Kale,Agave Syrup
Pores,vegen,Chia Seeds,Fried Tofu
Inflammation,nonveg,Eggs,Mayonnaise
Oily Skin,veg,Broccoli,Fried Potato
Uneven Skin Tone,combination,Chicken with Broccoli,Burger
Uneven Skin Tone,nonveg,Liver,Spicy Chicken
Oily Skin,veg,Pumpkin Seeds,Processed Juice
Eczema,vegen,Soy Milk,Agave Syrup
Pigmentation,vegen,Tofu,Refined Oil
Wrinkles,combination,Vegetable Soup,Ice Cream
Redness,combination,Fruit Yogurt,Instant Noodles
Blackheads,veg,Carrot,Pickles
Inflammation,vegen,Tofu,Refined Oil
Pores,veg,Almonds,Refined Sugar
Dullness,vegen,Oats,White Sugar
Acne,nonveg,Eggs,Bacon
Oily Skin,vegen,Chia Seeds,Packaged Vegan Chips
Rosacea,vegen,Kale,Packaged Vegan Chips
Oily Skin,vegen,Tofu,Coconut Cream
Rosacea,combination,Fish Curry with Rice,Butter Paneer
Dryness,combination,Baked Fish with Veggies,Butter Paneer
Whiteheads,nonveg,Yogurt,Fried Egg
Dryness,nonveg,Chicken Breast,Fried Fish
Pores,vegen,Zucchini,Excess Soy
Tanning,veg,Almonds,Deep-Fried Snacks
Redness,vegen,Zucchini,Excess Soy
Sagging,combination,Chicken with Broccoli,Excess Cheese
Dryness,nonveg,Chicken Breast,Mayonnaise
Pigmentation,nonveg,Tuna,Mutton Curry
Dark Circles,veg,Almonds,Refined Sugar
Redness,nonveg,Eggs,Fried Egg
Whiteheads,combination,Chicken with Broccoli,Burger
Rosacea,vegen,Coconut Water,Coconut Cream
Whiteheads,vegen,Soy Milk,Mock Meats
Inflammation,vegen,Chia Seeds,Agave Syrup
Dark Circles,nonveg,Bone Broth,Fried Egg
Inflammation,veg,Spinach,Processed Juice
Wrinkles,combination,Greek Yogurt with Berries,Chips
Redness,combination,Avocado Toast with Egg,Butter Paneer
Inflammation,vegen,Soy Milk,Overprocessed Vegan Snacks
Whiteheads,vegen,Tofu,Mock Meats
Eczema,vegen,Soy Milk,Agave Syrup
Uneven Skin Tone,nonveg,Salmon,Mayonnaise
Whiteheads,combination,Egg Salad,Chips
Dullness,combination,Fruit Yogurt,Butter Paneer
Wrinkles,nonveg,Eggs,Bacon
Itchy Skin,combination,Fruit Yogurt,Excess Cheese
Eczema,veg,Tomato,Creamy Curries
Sunburn,vegen,Kale,Vegan Mayo
Pores,veg,Sweet Potato,White Bread
Oily Skin,combination,Greek Yogurt with Berries,Excess Cheese
Dark Circles,veg,Beetroot,Carbonated Drinks
Sunburn,veg,Tomato,Fried Potato
Itchy Skin,veg,Pumpkin Seeds,Carbonated Drinks
Whiteheads,combination,Baked Fish with Veggies,Fried Chicken
Rosacea,veg,Carrot,Carbonated Drinks
Pores,vegen,Zucchini,Fried Tofu
Pigmentation,vegen,Zucchini,Vegan Mayo
Pores,combination,Fish Curry with Rice,Instant Noodles
Oily Skin,combination,Egg Salad,Excess Cheese
Dryness,nonveg,Bone Broth,Mutton Curry
Blackheads,nonveg,Tuna,Bacon
Redness,veg,Carrot,Creamy Curries
Dark Circles,nonveg,Bone Broth,Red Meat
Blackheads,combination,Tofu Stir Fry,Instant Noodles
Whiteheads,vegen,Hummus,Coconut Cream
Itchy Skin,combination,Vegetable Soup,Butter Paneer
Dullness,vegen,Zucchini,White Sugar
Acne,combination,Greek Yogurt with Berries,Cream Biscuits
Eczema,combination,Fruit Yogurt,Burger
Sagging,veg,Pumpkin Seeds,Butter
Uneven Skin Tone,combination,Fruit Yogurt,Instant Noodles
Sunburn,nonveg,Prawns,Mutton Curry
Dryness,vegen,Quinoa,Overprocessed Vegan Snacks
Acne,vegen,Lentils,Packaged Vegan Chips
Redness,vegen,Hummus,Refined Oil
Inflammation,nonveg,Oysters,Mutton Curry
Tanning,vegen,Quinoa,Vegan Mayo
Dullness,nonveg,Prawns,Spicy Chicken
Dullness,veg,Cucumber,White Bread
Whiteheads,nonveg,Oysters,Fried Fish
Blackheads,combination,Vegetable Soup,Instant Noodles
Redness,combination,Mixed Nuts,Instant Noodles
Inflammation,combination,Baked Fish with Veggies,Burger
Sagging,veg,Turmeric Milk,Processed Juice
Eczema,veg,Cucumber,Carbonated Drinks
Dark Spots,veg,Almonds,Deep-Fried Snacks
Dullness,vegen,Soy Milk,Overprocessed Vegan Snacks
Dark Circles,nonveg,Oysters,Sausages
Inflammation,vegen,Tofu,Coconut Cream
Pigmentation,veg,Cucumber,Cheese
Pigmentation,combination,Egg Salad,Pizza
Itchy Skin,combination,Vegetable Soup,Sugary Drinks
Inflammation,nonveg,Turkey,Fried Fish
Dark Circles,vegen,Hummus,Agave Syrup
Redness,vegen,Hummus,Refined Oil
Dryness,nonveg,Oysters,Red Meat
Uneven Skin Tone,nonveg,Salmon,Red Meat
Blackheads,nonveg,Oysters,Bacon
Dark Circles,veg,Almonds,Deep-Fried Snacks
Inflammation,combination,Fish Curry with Rice,Burger
Dryness,combination,Fruit Yogurt,Butter Paneer
Dark Spots,combination,Avocado Toast with Egg,Sugary Drinks
Uneven Skin Tone,vegen,Quinoa,Excess Soy
Pigmentation,vegen,Soy Milk,Excess Soy
Blackheads,nonveg,Tuna,Red Meat
Inflammation,nonveg,Chicken Breast,Processed Meat
Dryness,vegen,Lentils,Vegan Mayo
Eczema,veg,Turmeric Milk,Fried Potato
Wrinkles,veg,Carrot,Refined Sugar
Redness,vegen,Hummus,White Sugar
Tanning,combination,Baked Fish with Veggies,Sugary Drinks
Sunburn,veg,Broccoli,Pickles
Wrinkles,combination,Tofu Stir Fry,Cream Biscuits
Dark Circles,vegen,Chia Seeds,Vegan Mayo
Eczema,veg,Broccoli,Refined Sugar
Wrinkles,vegen,Oats,Mock Meats
Sunburn,combination,Greek Yogurt with Berries,Ice Cream
Pores,vegen,Lentils,Overprocessed Vegan Snacks
Dryness,vegen,Oats,Fried Tofu
Uneven Skin Tone,nonveg,Salmon,Red Meat
Oily Skin,veg,Turmeric Milk,Creamy Curries
Dark Circles,veg,Sweet Potato,Refined Sugar
Wrinkles,combination,Vegetable Soup,Butter Paneer
Dullness,combination,Baked Fish with Veggies,Pizza
Wrinkles,nonveg,Salmon,Bacon
Pores,combination,Avocado Toast with Egg,Burger
Wrinkles,veg,Carrot,White Bread
Pigmentation,combination,Mixed Nuts,Butter Paneer
Eczema,combination,Chicken with Broccoli,Chips
Uneven Skin Tone,nonveg,Chicken Breast,Sausages
Rosacea,vegen,Lentils,Agave Syrup
Sagging,vegen,Tofu,White Sugar
Dark Circles,veg,Beetroot,Refined Sugar
Redness,vegen,Zucchini,Fried Tofu
Pigmentation,vegen,Quinoa,Mock Meats
Acne,nonveg,Turkey,Mayonnaise
Wrinkles,vegen,Kale,Refined Oil
Oily Skin,combination,Mixed Nuts,Pizza
Dark Spots,nonveg,Oysters,Butter Chicken
Dark Spots,veg,Almonds,Carbonated Drinks
Sagging,combination,Avocado Toast with Egg,Sugary Drinks
Tanning,veg,Carrot,White Bread
Dark Spots,vegen,Kale,Overprocessed Vegan Snacks
Oily Skin,vegen,Quinoa,Excess Soy
Uneven Skin Tone,combination,Egg Salad,Fried Chicken
Blackheads,vegen,Hummus,Excess Soy
Oily Skin,vegen,Kale,Mock Meats
Itchy Skin,veg,Cucumber,Creamy Curries
Uneven Skin Tone,veg,Cucumber,Fried Potato
Wrinkles,vegen,Hummus,Refined Oil
Tanning,veg,Spinach,Processed Juice
Eczema,combination,Greek Yogurt with Berries,Fried Chicken
Sunburn,vegen,Quinoa,Coconut Cream
Dryness,nonveg,Turkey,Processed Meat
Tanning,vegen,Quinoa,Fried Tofu
Wrinkles,veg,Tomato,Fried Potato
Uneven Skin Tone,combination,Fruit Yogurt,Fried Chicken
Dark Spots,combination,Chicken with Broccoli,Pizza
Pigmentation,vegen,Tofu,Agave Syrup
Wrinkles,combination,Tofu Stir Fry,Ice Cream
Sunburn,veg,Almonds,Carbonated Drinks
Itchy Skin,nonveg,Oysters,Fried Fish
Redness,veg,Turmeric Milk,Refined Sugar
Itchy Skin,vegen,Zucchini,Vegan Mayo
Dark Circles,vegen,Soy Milk,Vegan Mayo
Dryness,vegen,Zucchini,Fried Tofu
Dark Spots,nonveg,Bone Broth,Spicy Chicken
Dark Circles,veg,Almonds,Processed Juice
Eczema,combination,Greek Yogurt with Berries,Excess Cheese
Redness,nonveg,Yogurt,Sausages
Uneven Skin Tone,combination,Baked Fish with Veggies,Sugary Drinks
Dark Circles,vegen,Zucchini,Vegan Mayo
Dullness,combination,Greek Yogurt with Berries,Ice Cream
Sunburn,nonveg,Bone Broth,Bacon
Pores,nonveg,Eggs,Butter Chicken
Tanning,combination,Chicken with Broccoli,Chips
Tanning,vegen,Zucchini,Mock Meats
Redness,combination,Avocado Toast with Egg,Pizza
Dark Spots,veg,Carrot,Pickles
Dark Circles,veg,Carrot,Carbonated Drinks
Whiteheads,nonveg,Yogurt,Bacon
Dark Circles,veg,Broccoli,Carbonated Drinks
Tanning,veg,Pumpkin Seeds,Creamy Curries
Wrinkles,nonveg,Prawns,Sausages
Blackheads,combination,Egg Salad,Excess Cheese
Rosacea,vegen,Quinoa,Vegan Mayo
Dryness,veg,Broccoli,Carbonated Drinks
Eczema,vegen,Oats,Coconut Cream
Inflammation,nonveg,Tuna,Bacon
Itchy Skin,nonveg,Chicken Breast,Spicy Chicken
Pigmentation,veg,Almonds,Fried Potato
Redness,combination,Greek Yogurt with Berries,Instant Noodles
